Date,Description,Amount
2023-12-01,CREDIT-SALARY-TECHCORP,85000.00
2023-12-02,Transfer to Landlord Acct 987654321098,-20000.00
2023-12-04,MakeMyTrip Flight Booking,-12500.00
2023-12-05,Netflix Entertainment,-499.00
2023-12-08,Taj Hotel Dining,-4500.00
2023-12-10,Zerodha Broking SIP,-5000.00
2023-12-12,Airtel Broadband Bill,-999.00
2023-12-15,BookMyShow Movies,-850.00
2023-12-18,HDFC Personal Loan EMI,-10500.00
2023-12-20,Decathlon Sports,-3200.00
2023-12-24,Amazon India Shopping,-4500.00
2023-12-28,Uber Rides,-1200.00
2023-12-30,Apollo Pharmacy,-1500.00
