Date,Description,Amount
2023-10-01,CREDIT-SALARY-TECHCORP,85000.00
2023-10-02,Transfer to Landlord Acct 987654321098,-20000.00
2023-10-03,Zomato Online Ordering,-450.00
2023-10-05,Netflix Entertainment,-499.00
2023-10-06,Uber Rides,-320.00
2023-10-08,Amazon India Shopping,-1250.00
2023-10-10,Zerodha Broking SIP,-5000.00
2023-10-12,Airtel Broadband Bill,-999.00
2023-10-15,Swiggy Food Delivery,-350.00
2023-10-18,HDFC Personal Loan EMI,-10500.00
2023-10-20,Starbucks Coffee,-600.00
2023-10-22,IRCTC Train Ticket,-1200.00
2023-11-01,CREDIT-SALARY-TECHCORP,85000.00
2023-11-02,Transfer to Landlord Acct 987654321098,-20000.00
2023-11-05,Netflix Entertainment,-499.00
2023-11-10,Zerodha Broking SIP,-5000.00
2023-11-18,HDFC Personal Loan EMI,-10500.00
2023-11-20,Flipkart Electronics,-24000.00
2023-11-25,Refund Amazon India Shopping,1250.00
